name,tags
Whispike Survivors - Sword of the Necromancer,"Action,Casual,RPG,Action Roguelike,Bullet Hell,Roguelite,Survival,2D,Dark Fantasy,Pixel Graphics,PvE,Singleplayer,Controller,Indie,Agriculture,Farming Sim,Retro,Funny,+"
Crusader Kings II,"Grand Strategy,Strategy,Medieval,Historical,Political Sim,Simulation,RPG,Sandbox,Multiplayer,Politics,Diplomacy,Singleplayer,Replay Value,Real-Time with Pause,Moddable,Political,Free to Play,Character Customization,RTS,Great Soundtrack,+"
S.O.T.A 2,"Early Access,RPG,Simulation,Action,Sandbox,Action-Adventure,Action RPG,Shooter,MMORPG,Exploration,CRPG,Looter Shooter,Choose Your Own Adventure,Third-Person Shooter,Tactical RPG,3D,Third Person,Realistic,Survival,Atmospheric,+"
STASIS,"Point & Click,Isometric,Sci-fi,Horror,Adventure,Story Rich,Atmospheric,Singleplayer,Space,Indie,Puzzle,Psychological Horror,2D,Gore,2.5D,Post-apocalyptic,Fantasy,Retro,Kickstarter,Cinematic,+"
"I, Zombie","Stealth,Top-Down,Puzzle,Level Editor,Cute,Villain Protagonist,Casual,Indie,Strategy,Arcade,Survival,Singleplayer,2D,Action,Zombies,Funny,Short,Sandbox,Cartoony,Controller,+"
Ragnarok Online,"Free to Play,RPG,MMORPG,Massively Multiplayer,Anime,Fantasy,Multiplayer,Adventure,JRPG,Great Soundtrack,Old School,Nudity,2D,+"
Zup! X,"Puzzle,Casual,Indie,Fast-Paced,2D,Physics,Short,Relaxing,Minimalist,Puzzle Platformer,Point & Click,Singleplayer,Cute,Rhythm,Exploration,Psychological Horror,Funny,Story Rich,Difficult,Great Soundtrack,+"
Tower! Simulator 3,"Simulation,Flight,Software,Realistic,3D,Transportation,Management,Casual,Sandbox,Split Screen,3D Vision,Strategy,Space Sim,Multiplayer,Cinematic,Jet,Logic,Tower Defense,Tactical,Controller,+"
Team Fortress Classic,"Action,FPS,Multiplayer,Classic,Hero Shooter,Shooter,Team-Based,Class-Based,First-Person,1990's,Old School,Co-op,Competitive,Fast-Paced,Retro,Online Co-Op,Violent,Mod,Funny,Remake,+"
The Pegasus Expedition,"Grand Strategy,Strategy,Space,4X,Sci-fi,Diplomacy,Exploration,War,Story Rich,Narrative,Choices Matter,Atmospheric,Singleplayer,Cinematic,Management,Aliens,Futuristic,Turn-Based Strategy,Simulation,Dark,+"
Rhythm Sprout: Sick Beats & Bad Sweets,"Rhythm,Action-Adventure,Difficult,Music,Casual,Colorful,Relaxing,Arcade,Adventure,Electronic Music,3D,Character Customization,Comedy,Action,Atmospheric,Cute,Controller,Anime,Funny,Singleplayer,+"
Game Dev Studio,"Simulation,Strategy,Casual,Indie,Management,Economy,Replay Value,Sandbox,2D,Singleplayer,Addictive,Difficult,GameMaker,Moddable,Great Soundtrack,Point & Click,+"
ARMA: Gold Edition,"Simulation,Action,Military,Strategy,FPS,Tactical,Multiplayer,Realistic,Open World,Sandbox,Singleplayer,War,Shooter,First-Person,Co-op,+"
The Tales of Bayun,"Dark Fantasy,Choices Matter,Multiple Endings,Drama,Choose Your Own Adventure,Point & Click,Visual Novel,2D,Hand-drawn,Atmospheric,Faith,Magic,Dark,Fantasy,Indie,Singleplayer,RPG,Adventure,Story Rich,Text-Based,+"
Tap Ninja - Idle game,"Clicker,Casual,Idler,Pixel Graphics,Ninja,2D,Side Scroller,Roguelike,Action-Adventure,Action,Adventure,Singleplayer,Medieval,Hack and Slash,Free to Play,RPG,PvE,Indie,Linear,Collectathon,+"
Aimbeast,"FPS,Shooter,Action,Singleplayer,Utilities,eSports,First-Person,Moddable,Third Person,Level Editor,3D,Software Training,Multiplayer,Tutorial,Controller,Competitive,PvP,Indie,Early Access,Walking Simulator,+"
Epic Battle Fantasy 5,"JRPG,Funny,Turn-Based,Indie,Adventure,Creature Collector,Comedy,RPG,Turn-Based Combat,Strategy,Singleplayer,2D,Parody,Fantasy,Anime,Cats,Sexual Content,Story Rich,Colorful,Cute,+"
BATTLETECH,"Mechs,Strategy,Turn-Based Tactics,Turn-Based,Sci-fi,Turn-Based Strategy,Tactical,Action,Robots,Singleplayer,Character Customization,RPG,Space,Adventure,Multiplayer,Futuristic,Management,Story Rich,Great Soundtrack,Difficult,+"
Zup! Z,"Puzzle,Indie,Casual,Fast-Paced,2D,Physics,Short,Relaxing,Minimalist,Puzzle Platformer,Mouse only,Point & Click,Singleplayer,Cute,Rhythm,Education,Trading Card Game,Shooter,LEGO,+"
TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,"Bullet Hell,Indie,Faith,Shoot 'Em Up,Great Soundtrack,Anime,Difficult,Female Protagonist,Singleplayer,2D,+"
Trainz Plus,"Simulation,Trains,Level Editor,Sandbox,Realistic,3D,Third Person,Building,Driving,Multiplayer,Transportation,Open World,Historical,Relaxing,Moddable,Physics,Resource Management,Tutorial,Co-op,Singleplayer,+"
SYNTHETIK 2,"Early Access,Action Roguelike,Top-Down Shooter,Roguelite,Twin Stick Shooter,PvE,Perma Death,Shooter,Tutorial,Roguelike,Character Customization,3D,Top-Down,Action,Gun Customization,Colorful,Sci-fi,Tactical,Class-Based,Moddable,+"
RUSSIA BATTLEGROUNDS,"Gore,Action,Battle Royale,FPS,Multiplayer,Memes,Indie,Adventure,Massively Multiplayer,First-Person,Funny,Shooter,RPG,Atmospheric,Relaxing,PvP,Realistic,Great Soundtrack,Fast-Paced,Action RPG,+"
Monster Prom 2: Monster Camp,"Dating Sim,LGBTQ+,Indie,Comedy,Multiplayer,Multiple Endings,Online Co-Op,Visual Novel,Casual,Funny,Singleplayer,Dark Comedy,Text-Based,Romance,2D,Fantasy,Choose Your Own Adventure,Story Rich,Sequel,Simulation,+"
Minion Masters,"Real Time Tactics,RTS,Multiplayer,Co-op,Card Battler,Free to Play,Strategy RPG,Card Game,PvP,Strategy,Deckbuilding,PvE,Tactical,Competitive,Online Co-Op,Singleplayer,Turn-Based Tactics,Mouse only,Tower Defense,Stylized,+"
Tower 57,"Action,Indie,Pixel Graphics,Top-Down Shooter,Dystopian,Local Co-Op,Steampunk,Twin Stick Shooter,Great Soundtrack,2D,Retro,Co-op,Shooter,Top-Down,Multiplayer,Roguelike,+"
RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION,"RPG,JRPG,Singleplayer,Turn-Based Combat,Story Rich,Anime,Gun Customization,Steampunk,Difficult,Female Protagonist,Action,Great Soundtrack,+"
Xuan-Yuan Sword VII,"RPG,Martial Arts,Historical,Singleplayer,Story Rich,Action RPG,Action,Adventure,Action-Adventure,Third Person,Hack and Slash,Open World,Atmospheric,Dungeon Crawler,Fantasy,Choices Matter,Great Soundtrack,Souls-like,+"
Heliborne Collection,"Military,Flight,Multiplayer,Co-op,Experimental,Arcade,Massively Multiplayer,Simulation,Realistic,War,Action,Indie,Tactical,Team-Based,Singleplayer,Strategy,Open World,Shooter,Third Person,Battle Royale,+"
Draw & Guess,"Casual,Multiplayer,Hand-drawn,Funny,Family Friendly,Experimental,Word Game,Relaxing,Education,Time Management,2D,Abstract,Cartoon,Minimalist,Stylized,Comedy,PvP,Linear,Co-op,Online Co-Op,+"
Bassmaster® Fishing,"Simulation,Sports,Fishing,Immersive Sim,Realistic,Family Friendly,Nature,Relaxing,Controller,PvP,Multiplayer,Singleplayer,Competitive,Casual,Action,Exploration,First-Person,Third Person,Atmospheric,Free to Play,+"
Prospekt,"Action,FPS,Singleplayer,Sci-fi,Mod,Shooter,First-Person,Story Rich,Indie,Adventure,Multiplayer,Co-op,Short,Atmospheric,+"
Risen Kingdom,"Strategy,Indie,Tower Defense,RTS,Base Building,Zombies,Casual,2D,Singleplayer,Fantasy,Colony Sim,GameMaker,Economy,+"
Home Sweet Home,"Horror,Adventure,Indie,Survival Horror,Multiplayer,Singleplayer,First-Person,Psychological Horror,VR,Gore,Atmospheric,Puzzle,Story Rich,Walking Simulator,Dark,Action,Episodic,Dating Sim,Nudity,Co-op,+"
RAD,"Action,Roguelite,Post-apocalyptic,Action Roguelike,Difficult,Singleplayer,Great Soundtrack,Perma Death,Procedural Generation,Funny,Roguelike,Indie,Isometric,1980s,+"
SYNTHETIK: Legion Rising,"Top-Down Shooter,Roguelite,Indie,Action,Action Roguelike,Online Co-Op,Difficult,Shooter,Co-op,Twin Stick Shooter,Roguelike,Isometric,Robots,Top-Down,Cyberpunk,Bullet Hell,Great Soundtrack,Multiplayer,Singleplayer,Tactical,+"
Exiled Kingdoms,"RPG,Adventure,Indie,Action,Open World,Singleplayer,Fantasy,Dungeon Crawler,Isometric,Story Rich,2D,Action RPG,Pixel Graphics,+"
Survive on Raft,"Resource Management,Multiplayer,Simulation,Realistic,Survival,Indie,Open World Survival Craft,Difficult,Open World,Crafting,Singleplayer,Building,Sandbox,Base Building,First-Person,Adventure,Fishing,Action,Exploration,Co-op,+"
Granblue Fantasy: Versus,"Action,Anime,2D Fighter,Fighting,PvP,Competitive,Multiplayer,RPG,Fantasy,Sexual Content,Great Soundtrack,Arcade,Local Multiplayer,Singleplayer,+"
Heart's Medicine - Doctor's Oath,"Casual,Indie,Adventure,Simulation,Time Management,Medical Sim,Story Rich,Drama,Female Protagonist,+"
The Office Quest,"Adventure,Indie,Point & Click,Puzzle,2D,Singleplayer,Story Rich,Atmospheric,Fantasy,Classic,Retro,Minigames,Family Friendly,Mystery,Narration,Hidden Object,+"
HARD BULLET,"VR,Gore,Action,Simulation,Violent,Sandbox,Indie,Physics,Early Access,Shooter,Adventure,Arena Shooter,Cinematic,First-Person,Action-Adventure,Bullet Time,Destruction,Shoot 'Em Up,Atmospheric,Arcade,+"
Edna & Harvey: The Breakout - Anniversary Edition,"Adventure,Indie,Point & Click,Puzzle,Comedy,Dark Humor,Female Protagonist,+"
Divinity: Dragon Commander,"Strategy,RPG,Dragons,Fantasy,Political,RTS,Action,Singleplayer,Steampunk,Turn-Based,Choices Matter,Real-Time with Pause,Multiplayer,Story Rich,Comedy,Co-op,Great Soundtrack,Romance,Politics,Dating Sim,+"
Pro Basketball Manager 2023,"Sports,Strategy,Simulation,Basketball,Management,2D,3D,Choices Matter,Singleplayer,Indie,Tactical,Real Time Tactics,+"
EBOLA 3,"Survival Horror,Horror,First-Person,Singleplayer,Atmospheric,Zombies,Gore,Psychological Horror,Action,Violent,Survival,Adventure,Puzzle,Story Rich,FPS,Multiplayer,Exploration,Choices Matter,Shooter,Nonlinear,+"
The Fisherman - Fishing Planet,"Fishing,Sports,Nature,Exploration,Atmospheric,Relaxing,Realistic,Simulation,Family Friendly,Co-op,Massively Multiplayer,Adventure,Collectathon,Casual,Multiplayer,Open World,First-Person,Submarine,Underwater,Farming Sim,+"
觅长生,"RPG,Open World,Martial Arts,Drama,Strategy,Indie,Fantasy,Turn-Based Combat,Singleplayer,Strategy RPG,Story Rich,Simulation,Roguelite,Character Customization,Anime,Exploration,2D,Colorful,2D Platformer,Card Battler,+"
Mahokenshi,"Board Game,Turn-Based Tactics,Turn-Based Strategy,Exploration,Isometric,Roguelite,Card Battler,PvE,Card Game,Tabletop,Female Protagonist,Action RPG,RPG,Strategy,3D,Demons,Deckbuilding,Story Rich,Turn-Based Combat,Colorful,+"
World Racing 2 - Champion Edition,"Sports,Action,Racing,Arcade,3D,Beat 'em up,Simulation,3D Vision,Realistic,Old School,Retro,Singleplayer,Multiplayer,Driving,Adventure,Open World,Difficult,Sandbox,Automobile Sim,Shooter,+"
Last Call BBS,"Puzzle,Automation,Retro,1990's,Solitaire,Sandbox,Logic,Pixel Graphics,Building,Mechs,PvP,Card Game,Arcade,Simulation,2D,Casual,Old School,Multiplayer,Singleplayer,Local Multiplayer,+"
The Shore,"Lovecraftian,Horror,Exploration,FPS,First-Person,Psychological Horror,Action-Adventure,Fighting,Story Rich,Underwater,Narration,Puzzle,Relaxing,Action,Realistic,Atmospheric,Dark Fantasy,Mythology,Multiple Endings,Philosophical,+"
Little Inferno,"Casual,Indie,Puzzle,Singleplayer,Funny,Satire,Comedy,Short,Great Soundtrack,Dark Humor,Adventure,Sandbox,Atmospheric,Story Rich,Dark,Touch-Friendly,2D,Point & Click,Surreal,Parody,+"
The Lost Village,"Early Access,Base Building,Roguelite,Real Time Tactics,Building,Roguelike,Farming Sim,Martial Arts,Cartoony,Simulation,3D,RPG,Adventure,Dungeon Crawler,Tactical,Fantasy,City Builder,Crafting,Traditional Roguelike,Strategy,+"
Across the Obelisk,"Co-op,Roguelike Deckbuilder,Card Game,Card Battler,Roguelike,RPG,Deckbuilding,Roguelite,Turn-Based,Difficult,Turn-Based Combat,Fantasy,Choices Matter,Replay Value,Singleplayer,Turn-Based Tactics,Procedural Generation,2D,Strategy,Turn-Based Strategy,+"
Path of the Midnight Sun,"JRPG,Story Rich,Atmospheric,Choices Matter,Party-Based RPG,Anime,Hand-drawn,Turn-Based Strategy,RPG,Turn-Based Combat,Choose Your Own Adventure,Strategy,Adventure,Visual Novel,Colorful,Tactical RPG,Exploration,Psychological Horror,Multiple Endings,Character Customization,+"
The Rule of Land: Pioneers,"Survival,Resource Management,Inventory Management,Base Building,Crafting,Simulation,Hunting,Singleplayer,Building,2.5D,Open World Survival Craft,Indie,Adventure,Post-apocalyptic,Early Access,RPG,Roguelike,Sci-fi,Strategy,2D,+"
Notruf 112 | Emergency Call 112,"Simulation,Realistic,Multiplayer,Singleplayer,Driving,Automobile Sim,Open World,Action,First-Person,Casual,Third Person,Physics,Moddable,Strategy,Adventure,Colorful,Replay Value,Family Friendly,Relaxing,Mod,+"
Digger Online,"Story Rich,Action,Atmospheric,Realistic,Shooter,Survival,First-Person,Open World,Multiplayer,Family Friendly,Sandbox,Comedy,Building,Co-op,Zombies,Adventure,Simulation,RPG,Indie,Crafting,+"
"Dude, Stop","Puzzle,Funny,Pixel Graphics,Narration,Comedy,Singleplayer,2D,Indie,Casual,Satire,Dynamic Narration,Colorful,Adventure,Point & Click,+"
Tilesweeper,"Casual,Puzzle,Atmospheric,Destruction,Medieval,Classic,Physics,Stylized,Replay Value,+"
Somerville,"Atmospheric,Emotional,Adventure,Story Rich,Puzzle,Cinematic,Action-Adventure,Multiple Endings,Dark,Indie,Ambient,Narrative,Sci-fi,2.5D,3D,Singleplayer,Mystery,Horror,Walking Simulator,Beautiful,+"
Syberia II,"Adventure,Point & Click,Puzzle,Female Protagonist,Steampunk,Story Rich,Atmospheric,Singleplayer,Classic,Mystery,Escape Room,Great Soundtrack,Beautiful,Third Person,+"
Rusty Lake Hotel,"Puzzle,Point & Click,Indie,Adventure,Horror,Psychological Horror,Surreal,Mystery,Singleplayer,Atmospheric,2D,Hand-drawn,Story Rich,Dark,Hidden Object,Short,Casual,Gore,Dark Humor,Remake,+"
Psych,"Horror,Psychological Horror,Dark,Survival Horror,Thriller,Atmospheric,Crime,Action-Adventure,Adventure,Exploration,Dynamic Narration,Emotional,Puzzle,Realistic,Open World,Interactive Fiction,Action,Singleplayer,Indie,First-Person,+"
Vaporum,"Dungeon Crawler,CRPG,RPG,First-Person,Steampunk,Character Customization,Dark Fantasy,Fantasy,Tactical RPG,Action RPG,Puzzle,Story Rich,Exploration,Action-Adventure,3D,Grid-Based Movement,Turn-Based Combat,Real-Time,Magic,Atmospheric,+"
Saiko no sutoka,"Horror,First-Person,Anime,Cute,Artificial Intelligence,3D,Psychological Horror,Choose Your Own Adventure,Action-Adventure,Action,Simulation,Atmospheric,Cartoony,Survival Horror,Psychological,Adventure,Singleplayer,Violent,Cartoon,Casual,+"
PRO ERA,"Simulation,Immersive Sim,3D,First-Person,Realistic,VR,Football (American),Sports,Character Customization,Multiplayer,Singleplayer,+"
Farworld Pioneers,"Co-op,Colorful,Open World Survival Craft,Colony Sim,Sandbox,PvP,Base Building,Simulation,Crafting,Management,Side Scroller,Space,Multiplayer,Sci-fi,Exploration,Combat,Online Co-Op,Singleplayer,Survival,Pixel Graphics,+"
Junkyard Truck,"Simulation,Open World,Automobile Sim,Driving,Exploration,First-Person,Singleplayer,Early Access,Sexual Content,+"
Growing Up,"Story Rich,Simulation,Life Sim,Emotional,RPG,Choices Matter,Adventure,Singleplayer,Casual,Choose Your Own Adventure,Multiple Endings,Management,Cute,America,Visual Novel,1990's,Hand-drawn,LGBTQ+,2D,Dating Sim,+"
Totally Reliable Delivery Service,"Action,Sandbox,Casual,Physics,Funny,Co-op,Open World,Simulation,3D,Action-Adventure,Local Multiplayer,Third Person,Adventure,Split Screen,Cute,Colorful,Comedy,4 Player Local,Multiplayer,Local Co-Op,+"
Risen,"RPG,Open World,Gothic,Fantasy,Adventure,Singleplayer,Atmospheric,Third Person,Exploration,Action,Magic,Dark Fantasy,Action RPG,Story Rich,Great Soundtrack,Medieval,Difficult,Sandbox,Classic,Character Customization,+"
NavalArt,"Early Access,Sandbox,Naval Combat,Voxel,Crafting,Building,Wargame,Driving,Shooter,World War I,Tanks,Strategy,World War II,Military,Submarine,War,Naval,Simulation,Sailing,Gun Customization,+"
[Chilla's Art] Night Security | 夜間警備,"Horror,Psychological Horror,Immersive,Atmospheric,Adventure,Casual,Immersive Sim,3D,First-Person,Demons,Mystery,Supernatural,1990's,1980s,Realistic,Crime,Dark,Dark Fantasy,Walking Simulator,Detective,+"
No Longer Home,"Interactive Fiction,LGBTQ+,Story Rich,Point & Click,Minimalist,Emotional,Relaxing,Indie,Exploration,Stylized,Cute,Atmospheric,Visual Novel,Surreal,Adventure,Drama,Singleplayer,Conversation,Philosophical,Casual,+"
The Herbalist,"Anime,Visual Novel,Indie,Nudity,Casual,Singleplayer,Great Soundtrack,Relaxing,Puzzle,Crafting,Atmospheric,Female Protagonist,Memes,Mature,2D,Comedy,Adventure,Mystery,Supernatural,Mythology,+"
Mr. Sun's Hatbox,"Roguelike,2D,Dungeon Crawler,Co-op,Pixel Graphics,Replay Value,Procedural Generation,Colorful,Local Co-Op,Multiplayer,Metroidvania,Platformer,Singleplayer,Difficult,Indie,Cute,Action,PvP,Heist,Adventure,+"
Serious Sam 3 VR: BFE,"Action,Indie,VR,Gore,FPS,First-Person,+"
Isekai Succubus ~My Genderbent Saga in Another World~,"JRPG,RPG,Party-Based RPG,Visual Novel,Dungeon Crawler,Sexual Content,Anime,Cute,Fantasy,LGBTQ+,Funny,Singleplayer,Dating Sim,Turn-Based Combat,Comedy,Magic,Comic Book,Colorful,CRPG,Exploration,+"
Strange Horticulture,"Mystery,Puzzle,Exploration,Nature,Investigation,Relaxing,2D,Detective,Choices Matter,Multiple Endings,Story Rich,Simulation,Lovecraftian,Atmospheric,Adventure,Dark,Point & Click,Conversation,Alternate History,Colorful,+"
The Talos Principle VR,"Adventure,VR,Puzzle,Action,Indie,First-Person,Philosophical,+"
Men of War: Assault Squad,"Strategy,World War II,Tactical,War,RTS,Multiplayer,Military,Realistic,Real Time Tactics,Action,Co-op,Historical,Simulation,Moddable,Tanks,Destruction,Singleplayer,Level Editor,Epic,Sandbox,+"
King's Bounty: The Legend,"RPG,Strategy,Turn-Based Strategy,Fantasy,Turn-Based,Adventure,Hex Grid,Singleplayer,Tactical,Tactical RPG,Turn-Based Combat,Atmospheric,Great Soundtrack,Classic,Open World,Addictive,Comedy,Strategy RPG,+"
It Steals,"Survival Horror,FPS,Perma Death,Horror,Arcade,First-Person,3D,Psychological Horror,Action,Pixel Graphics,Stealth,Demons,Survival,Atmospheric,Psychological,Retro,Singleplayer,Indie,+"
Miss Neko,"Sexual Content,Hentai,Nudity,Casual,Mature,Action,Anime,Puzzle,NSFW,Singleplayer,+"
D'LIRIUM,"Violent,Horror,Dark,Gore,Shooter,Survival Horror,Level Editor,Old School,Action,Atmospheric,Top-Down Shooter,Psychological Horror,Adventure,Early Access,Singleplayer,2D,Short,Experimental,Surreal,Multiple Endings,+"
At Dead Of Night,"Survival Horror,Strategy,Supernatural,Horror,Investigation,Tactical,First-Person,Point & Click,Indie,Gothic,RPG,Atmospheric,Mystery,Real Time Tactics,Story Rich,FMV,Co-op,Cinematic,Multiplayer,Singleplayer,+"
POPGOES Arcade,"RPG,Horror,Singleplayer,Pixel Graphics,Action RPG,Exploration,Indie,2D,Arcade,Great Soundtrack,Robots,Funny,+"
Birth,"Point & Click,Puzzle,Hidden Object,Surreal,Cute,Adventure,Stylized,Hand-drawn,Atmospheric,Physics,Relaxing,Story Rich,Singleplayer,Indie,Horror,Gore,Casual,2D,Magic,Psychological Horror,+"
Star General,"Strategy,Turn-Based Strategy,Space,Top-Down,1990's,War,Turn-Based Tactics,Wargame,Retro,Tactical,Turn-Based Combat,Singleplayer,+"
Bloodecay,"Metroidvania,Souls-like,Anime,Adventure,Female Protagonist,Dark Fantasy,Action RPG,Action,Beat 'em up,Fantasy,Roguelite,2D,Colorful,Post-apocalyptic,RPG,Singleplayer,Multiple Endings,Gore,Violent,Indie,+"
"Guns, Gore and Cannoli 2","Action,Side Scroller,Co-op,2D,Multiplayer,Gore,Adventure,Shooter,Zombies,Shoot 'Em Up,Local Co-Op,Online Co-Op,4 Player Local,Platformer,Violent,World War II,Comedy,Indie,Arcade,Funny,+"
Garbage,"Simulation,Management,Strategy,Survival,Base Building,Dark Humor,Auto Battler,Dark Comedy,Comedy,Violent,Fighting,Colony Sim,Atmospheric,Top-Down,3D,Fantasy,Life Sim,Indie,Realistic,Funny,+"
CardLife: Creative Survival,"Survival,Open World Survival Craft,Adventure,Open World,Massively Multiplayer,Action,RPG,Indie,Crafting,Building,Base Building,Sandbox,Multiplayer,Online Co-Op,Fantasy,Singleplayer,PvE,PvP,Early Access,Dinosaurs,+"
Anna's Quest,"Adventure,Point & Click,Indie,Female Protagonist,Fantasy,Dark Humor,Singleplayer,Dark,Puzzle,Comedy,Atmospheric,2D,Story Rich,Horror,+"
INFRA,"Puzzle,Exploration,Atmospheric,Adventure,First-Person,Walking Simulator,Indie,Mystery,Story Rich,Singleplayer,Great Soundtrack,Horror,Psychological Horror,Open World,+"
Shantae and the Seven Sirens,"Metroidvania,Female Protagonist,Platformer,Adventure,Cute,2D,Anime,Great Soundtrack,Funny,Singleplayer,Indie,2D Platformer,Sexual Content,Action,Comedy,Exploration,Nudity,Mature,+"
LONN,"VR,Physics,Story Rich,Action,FPS,Shooter,Atmospheric,Puzzle,Adventure,Futuristic,Singleplayer,Cyberpunk,First-Person,Sci-fi,Survival,Swordplay,Parkour,Violent,Simulation,Soundtrack,+"
Distrust: Polar Survival,"Survival,Multiplayer,Isometric,Adventure,Co-op,Procedural Generation,Horror,Psychedelic,Survival Horror,Singleplayer,Atmospheric,Top-Down,Tactical,Online Co-Op,Sci-fi,Exploration,Point & Click,Psychological Horror,Roguelite,Strategy,+"
Blood Bowl 2,"Strategy,Multiplayer,Fantasy,Singleplayer,Board Game,Turn-Based,RPG,Turn-Based Strategy,Tactical,PvP,Action,Dark Fantasy,Funny,Turn-Based Tactics,Gore,Violent,Games Workshop,Sports,Football (American),Dark Humor,+"
Cultist Simulator,"Card Game,Management,Story Rich,Difficult,Horror,Roguelite,Tabletop,Lovecraftian,Atmospheric,Board Game,CRPG,Strategy RPG,Text-Based,Roguelike,RPG,2D,Multiple Endings,Crafting,Psychological Horror,Dark Humor,+"
My Brother Rabbit,"Adventure,Puzzle,Point & Click,Singleplayer,Great Soundtrack,2D,Story Rich,Hidden Object,Retro,Casual,Indie,Hand-drawn,Short,Classic,+"
Pure Pool,"Simulation,Sports,Pool,Casual,Multiplayer,Snooker,+"
Black Squad,"Free to Play,FPS,Shooter,Multiplayer,Action,Early Access,First-Person,Military,PvP,Singleplayer,Co-op,War,Tactical,Massively Multiplayer,Team-Based,Violent,Open World,Strategy,Gore,Adventure,+"
Door Kickers: Action Squad,"Pixel Graphics,Action,Co-op,2D,Indie,Local Co-Op,Tactical,Moddable,Strategy,Multiplayer,Retro,Casual,Zombies,Replay Value,Singleplayer,Soundtrack,2D Platformer,Real Time Tactics,Shooter,Level Editor,+"
Crimsonland,"Action,Shooter,Top-Down,Indie,Top-Down Shooter,Local Co-Op,Twin Stick Shooter,RPG,Gore,Classic,Co-op,Shoot 'Em Up,Survival,Arcade,2D,Zombies,Sci-fi,Local Multiplayer,Post-apocalyptic,Aliens,+"
Lawless West,"Strategy,RTS,CRPG,Historical,PvE,Multiple Endings,RPG,Resource Management,Indie,Singleplayer,Isometric,Tower Defense,Western,Wargame,Atmospheric,Military,War,Combat,+"
Death Trash,"Early Access,Post-apocalyptic,Pixel Graphics,Exploration,Isometric,Local Co-Op,Story Rich,Action RPG,Atmospheric,RPG,Cyberpunk,Open World,Choices Matter,Old School,Character Customization,CRPG,Souls-like,Singleplayer,PvE,Lovecraftian,+"
Battle Axe,"Action,Adventure,Arcade,Pixel Graphics,Exploration,Top-Down,Retro,Fantasy,Hack and Slash,Female Protagonist,Local Co-Op,Singleplayer,+"
Whiskey.Mafia. Leo's Family,"Indie,Story Rich,Casual,Adventure,Action,Pixel Graphics,Violent,Atmospheric,Crime,Puzzle,Visual Novel,Interactive Fiction,Action-Adventure,Walking Simulator,Character Action Game,Heist,Cartoon,Noir,2D,Isometric,+"
Pro Soccer Online,"Sports,Football (Soccer),3D,Multiplayer,eSports,First-Person,Third Person,Real Time Tactics,Early Access,Team-Based,PvP,Character Customization,Competitive,Psychological Horror,Casual,Free to Play,+"
Anvil Saga,"Early Access,Pixel Graphics,RPG,Choices Matter,Medieval,Base Building,Singleplayer,Simulation,Management,Colony Sim,Strategy,Building,Crafting,Economy,Diplomacy,2D,Political Sim,Historical,Colorful,Family Friendly,+"
Higurashi When They Cry Hou - Ch. 5 Meakashi,"Adventure,Visual Novel,Horror,Psychological Horror,Anime,Great Soundtrack,Mystery,Story Rich,Singleplayer,Dark,Female Protagonist,Atmospheric,Cute,2D,Casual,+"
Jack Move,"JRPG,Turn-Based,Cyberpunk,Turn-Based Combat,Story Rich,Character Customization,Female Protagonist,RPG,Controller,2D,Anime,Pixel Graphics,Dystopian,Sci-fi,Hacking,Adventure,Exploration,Singleplayer,Party-Based RPG,Turn-Based Tactics,+"
Inertial Drift,"Racing,Indie,Arcade,Driving,PvP,Controller,Physics,Singleplayer,Multiplayer,Fast-Paced,Story Rich,Difficult,Casual,Replay Value,Stylized,Sports,Colorful,3D,Beautiful,Split Screen,+"
Conquer Humanity,"Early Access,Physics,Hack and Slash,Action,Superhero,Combat,Destruction,3D,Action Roguelike,Singleplayer,Procedural Generation,Violent,Bullet Hell,Roguelike,Gore,Top-Down,RPG,Arcade,Perma Death,Villain Protagonist,+"
Kholat,"Horror,Atmospheric,Walking Simulator,Survival Horror,Psychological Horror,Indie,Narration,First-Person,Singleplayer,Exploration,Adventure,Historical,Mystery,Survival,Open World,Psychological,Story Rich,Music,Dark,Action,+"
CANINE,"Horror,Stealth,First-Person,Retro,Psychological Horror,Survival Horror,Multiple Endings,3D,Singleplayer,Indie,Gore,Action,Adventure,Action-Adventure,+"
Spellbook Demonslayers,"Early Access,Dark Fantasy,Score Attack,Top-Down,Singleplayer,Pixel Graphics,Action Roguelike,Bullet Hell,RPG,Roguelike,Arcade,Casual,Top-Down Shooter,Action,2D,Action RPG,Dark,Arena Shooter,PvE,Shoot 'Em Up,+"
Diggles: The Myth of Fenris,"Adventure,Strategy,Mining,Colony Sim,Mystery Dungeon,2.5D,Colorful,Management,Comedy,Economy,Magic,Mythology,Building,Character Customization,Combat,Crafting,Inventory Management,Resource Management,Singleplayer,Classic,+"
ENSLAVED™: Odyssey to the West™ Premium Edition,"Adventure,Action,Post-apocalyptic,Story Rich,Singleplayer,Hack and Slash,Third Person,Action-Adventure,Sci-fi,Atmospheric,Robots,Platformer,Great Soundtrack,Parkour,3D Platformer,Linear,Female Protagonist,Controller,3D Vision,Cinematic,+"
